Entrez_ID	Main Class	Classification
254786.0	Receptors	GPCR;Olf
283365.0	Receptors	GPCR;Olf
403282.0	Receptors	GPCR;Olf
403284.0	Receptors	GPCR;Olf
390327.0	Receptors	GPCR;Olf
254783.0	Receptors	GPCR;Olf
390323.0	Receptors	GPCR;Olf
390326.0	Receptors	GPCR;Olf
343169.0	Receptors	GPCR;Olf
79549.0	Receptors	GPCR;Olf
81448.0	Receptors	GPCR;Olf
391114.0	Receptors	GPCR;Olf
128371.0	Receptors	GPCR;Olf
390261.0	Receptors	GPCR;Olf
128372.0	Receptors	GPCR;Olf
81442.0	Receptors	GPCR;Olf
128366.0	Receptors	GPCR;Olf
219952.0	Receptors	GPCR;Olf
341799.0	Receptors	GPCR;Olf
219874.0	Receptors	GPCR;Olf
346517.0	Receptors	GPCR;Olf
390260.0	Receptors	GPCR;Olf
391112.0	Receptors	GPCR;Olf
390892.0	Receptors	GPCR;Olf
26333.0	Receptors	GPCR;Olf
26659.0	Receptors	GPCR;Olf
26664.0	Receptors	GPCR;Olf
26658.0	Receptors	GPCR;Olf
162998.0	Receptors	GPCR;Olf
125958.0	Receptors	GPCR;Olf
26648.0	Receptors	GPCR;Olf
125962.0	Receptors	GPCR;Olf
390882.0	Receptors	GPCR;Olf
390883.0	Receptors	GPCR;Olf
390275.0	Receptors	GPCR;Olf
219858.0	Receptors	GPCR;Olf
26595.0	Receptors	GPCR;Olf
390271.0	Receptors	GPCR;Olf
283162.0	Receptors	GPCR;Olf
26493.0	Receptors	GPCR;Olf
283159.0	Receptors	GPCR;Olf
283160.0	Receptors	GPCR;Olf
338662.0	Receptors	GPCR;Olf
26494.0	Receptors	GPCR;Olf
26492.0	Receptors	GPCR;Olf
219865.0	Receptors	GPCR;Olf
219469.0	Receptors	GPCR;Olf
390151.0	Receptors	GPCR;Olf
390152.0	Receptors	GPCR;Olf
120586.0	Receptors	GPCR;Olf
219477.0	Receptors	GPCR;Olf
81168.0	Receptors	GPCR;Olf
390157.0	Receptors	GPCR;Olf
219473.0	Receptors	GPCR;Olf
341568.0	Receptors	GPCR;Olf
219417.0	Receptors	GPCR;Olf
504189.0	Receptors	GPCR;Olf
504190.0	Receptors	GPCR;Olf
135924.0	Receptors	GPCR;Olf
130075.0	Receptors	GPCR;Olf
390174.0	Receptors	GPCR;Olf
283189.0	Receptors	GPCR;Olf
504191.0	Receptors	GPCR;Olf
219954.0	Receptors	GPCR;Olf
441639.0	Receptors	GPCR;Olf
219956.0	Receptors	GPCR;Olf
113278.0	Receptors	GPCR;Other
57720.0	Receptors	GPCR;Other
4935.0	Receptors	GPCR;Other
79581.0	Receptors	GPCR;Other
55065.0	Receptors	GPCR;Other
390266.0	Receptors	GPCR;PutativeOlfR
401973.0	Receptors	GPCR;PutativeOlfR
81315.0	Receptors	GPCR;PutativeOlfR
401663.0	Receptors	GPCR;PutativeOlfR
81248.0	Receptors	GPCR;PutativeOlfR
390073.0	Receptors	GPCR;PutativeOlfR
390894.0	Receptors	GPCR;PutativeOlfR
79274.0	Receptors	GPCR;PutativeOlfR
26495.0	Receptors	GPCR;PutativeOlfR
346708.0	Receptors	GPCR;PutativeOlfR
81406.0	Receptors	GPCR;PutativeOlfR
26497.0	Receptors	GPCR;PutativeOlfR
8586.0	Receptors	GPCR;PutativeOlfR
390084.0	Receptors	GPCR;PutativeOlfR
650293.0	Receptors	GPCR;PutativeOlfR
81116.0	Receptors	GPCR;PutativeOlfR
391110.0	Receptors	GPCR;PutativeOlfR
26184.0	Receptors	GPCR;PutativeOlfR
442184.0	Receptors	GPCR;PutativeOlfR
442197.0	Receptors	GPCR;PutativeOlfR
388762.0	Receptors	GPCR;PutativeOlfR
26701.0	Receptors	GPCR;PutativeOlfR
81330.0	Receptors	GPCR;PutativeOlfR
390134.0	Receptors	GPCR;PutativeOlfR
100272148.0	Receptors	GPCR;PutativeOlfR
161271.0	Receptors	GPCR;PutativeOlfR
127617.0	Receptors	GPCR;PutativeOlfR
8594.0	Receptors	GPCR;PutativeOlfR
26343.0	Receptors	GPCR;PutativeOlfR
128370.0	Receptors	GPCR;PutativeOlfR
389616.0	Receptors	GPCR;PutativeOlfR
26651.0	Receptors	GPCR;PutativeOlfR
391632.0	Receptors	GPCR;PutativeOlfR
219445.0	Receptors	GPCR;PutativeOlfR
442105.0	Receptors	GPCR;PutativeOlfR
134.0	Receptors	GPCR;Rhodopsin
135.0	Receptors	GPCR;Rhodopsin
136.0	Receptors	GPCR;Rhodopsin
140.0	Receptors	GPCR;Rhodopsin
147.0	Receptors	GPCR;Rhodopsin
146.0	Receptors	GPCR;Rhodopsin
150.0	Receptors	GPCR;Rhodopsin
151.0	Receptors	GPCR;Rhodopsin
152.0	Receptors	GPCR;Rhodopsin
153.0	Receptors	GPCR;Rhodopsin
154.0	Receptors	GPCR;Rhodopsin
155.0	Receptors	GPCR;Rhodopsin
185.0	Receptors	GPCR;Rhodopsin
186.0	Receptors	GPCR;Rhodopsin
187.0	Receptors	GPCR;Rhodopsin
552.0	Receptors	GPCR;Rhodopsin
553.0	Receptors	GPCR;Rhodopsin
554.0	Receptors	GPCR;Rhodopsin
623.0	Receptors	GPCR;Rhodopsin
624.0	Receptors	GPCR;Rhodopsin
680.0	Receptors	GPCR;Rhodopsin
719.0	Receptors	GPCR;Rhodopsin
728.0	Receptors	GPCR;Rhodopsin
1238.0	Receptors	GPCR;Rhodopsin
886.0	Receptors	GPCR;Rhodopsin
1230.0	Receptors	GPCR;Rhodopsin
2826.0	Receptors	GPCR;Rhodopsin
1232.0	Receptors	GPCR;Rhodopsin
1233.0	Receptors	GPCR;Rhodopsin
1235.0	Receptors	GPCR;Rhodopsin
1236.0	Receptors	GPCR;Rhodopsin
1237.0	Receptors	GPCR;Rhodopsin
10803.0	Receptors	GPCR;Rhodopsin
51554.0	Receptors	GPCR;Rhodopsin
9034.0	Receptors	GPCR;Rhodopsin
1128.0	Receptors	GPCR;Rhodopsin
1129.0	Receptors	GPCR;Rhodopsin
1131.0	Receptors	GPCR;Rhodopsin
1132.0	Receptors	GPCR;Rhodopsin
1133.0	Receptors	GPCR;Rhodopsin
1240.0	Receptors	GPCR;Rhodopsin
1268.0	Receptors	GPCR;Rhodopsin
1269.0	Receptors	GPCR;Rhodopsin
1524.0	Receptors	GPCR;Rhodopsin
2833.0	Receptors	GPCR;Rhodopsin
7852.0	Receptors	GPCR;Rhodopsin
643.0	Receptors	GPCR;Rhodopsin
10663.0	Receptors	GPCR;Rhodopsin
57007.0	Receptors	GPCR;Rhodopsin
10800.0	Receptors	GPCR;Rhodopsin
57105.0	Receptors	GPCR;Rhodopsin
2532.0	Receptors	GPCR;Rhodopsin
1812.0	Receptors	GPCR;Rhodopsin
1813.0	Receptors	GPCR;Rhodopsin
1814.0	Receptors	GPCR;Rhodopsin
1815.0	Receptors	GPCR;Rhodopsin
1816.0	Receptors	GPCR;Rhodopsin
1880.0	Receptors	GPCR;Rhodopsin
1901.0	Receptors	GPCR;Rhodopsin
1902.0	Receptors	GPCR;Rhodopsin
1903.0	Receptors	GPCR;Rhodopsin
9170.0	Receptors	GPCR;Rhodopsin
9294.0	Receptors	GPCR;Rhodopsin
8698.0	Receptors	GPCR;Rhodopsin
23566.0	Receptors	GPCR;Rhodopsin
53637.0	Receptors	GPCR;Rhodopsin
1909.0	Receptors	GPCR;Rhodopsin
1910.0	Receptors	GPCR;Rhodopsin
2149.0	Receptors	GPCR;Rhodopsin
2150.0	Receptors	GPCR;Rhodopsin
2151.0	Receptors	GPCR;Rhodopsin
9002.0	Receptors	GPCR;Rhodopsin
2864.0	Receptors	GPCR;Rhodopsin
2867.0	Receptors	GPCR;Rhodopsin
2865.0	Receptors	GPCR;Rhodopsin
2357.0	Receptors	GPCR;Rhodopsin
2358.0	Receptors	GPCR;Rhodopsin
2359.0	Receptors	GPCR;Rhodopsin
2492.0	Receptors	GPCR;Rhodopsin
2587.0	Receptors	GPCR;Rhodopsin
8811.0	Receptors	GPCR;Rhodopsin
8484.0	Receptors	GPCR;Rhodopsin
2693.0	Receptors	GPCR;Rhodopsin
2798.0	Receptors	GPCR;Rhodopsin
114814.0	Receptors	GPCR;Rhodopsin
151306.0	Receptors	GPCR;Rhodopsin
2852.0	Receptors	GPCR;Rhodopsin
2825.0	Receptors	GPCR;Rhodopsin
83550.0	Receptors	GPCR;Rhodopsin
84109.0	Receptors	GPCR;Rhodopsin
8843.0	Receptors	GPCR;Rhodopsin
139760.0	Receptors	GPCR;Rhodopsin
